library_id,lib_plate,lib_row,lib_col,i7_primer,i5_primer
HB01_drone_pool1,2,B,10,i711,i502
HB09_drone_pool1,1,E,5,i706,i505
WK01_drone_pool1,1,C,2,i703,i503
WK10_drone_pool1,1,A,8,i709,i501
BP05_drone_pool1,2,F,7,i708,i506
TP02_drone_pool1,2,B,9,i710,i502
TP10_drone_pool1,2,D,4,i705,i504
HB02_drone_pool1,1,E,9,i710,i505
HB10_drone_pool1,1,F,2,i703,i506
WK02_drone_pool1,1,C,5,i706,i503
WK11_drone_pool1,2,E,5,i706,i505
BP06_drone_pool1,1,G,11,i712,i507
TP03_drone_pool1,1,H,5,i706,i508
TP12_drone_pool1,1,A,7,i708,i501
HB03_drone_pool1,1,F,3,i704,i506
HB11_drone_pool1,2,A,2,i703,i501
WK03_drone_pool1,1,C,1,i702,i503
WK12_drone_pool1,2,B,3,i704,i502
BP07_drone_pool1,2,F,8,i709,i506
TP04_drone_pool1,1,G,8,i709,i507
HB04_drone_pool1,1,H,10,i711,i508
HB13_drone_pool1,2,A,11,i712,i501
WK04_drone_pool1,1,H,1,i702,i508
WK13_drone_pool1,2,D,5,i706,i504
BP08_drone_pool1,2,E,2,i703,i505
TP05_drone_pool1,2,E,9,i710,i505
TP14_drone_pool1,1,B,6,i707,i502
HB05_drone_pool1,2,B,2,i703,i502
HB14_drone_pool1,2,A,9,i710,i501
WK05_drone_pool1,1,A,9,i710,i501
WK14_drone_pool1,2,C,8,i709,i503
BP09_drone_pool1,2,G,4,i705,i507
TP06_drone_pool1,2,G,5,i706,i507
TP15_drone_pool1,2,C,1,i702,i503
HB06_drone_pool1,1,F,1,i702,i506
HB15_drone_pool1,1,D,3,i704,i504
WK07_drone_pool1,2,B,5,i706,i502
BP02_drone_pool1,1,B,10,i711,i502
TP07_drone_pool1,1,F,7,i708,i506
TP16_drone_pool1,1,H,8,i709,i508
HB07_drone_pool1,2,G,1,i702,i507
HB16_drone_pool1,1,C,3,i704,i503
WK08_drone_pool1,2,D,3,i704,i504
BP03_drone_pool1,2,G,6,i707,i507
BP13_drone_pool1,2,E,8,i709,i505
TP08_drone_pool1,2,F,5,i706,i506
TP17_drone_pool1,1,G,3,i704,i507
HB08_drone_pool1,2,D,9,i710,i504
WK09_drone_pool1,2,A,10,i711,i501
BP04_drone_pool1,1,D,6,i707,i504
TP01_drone_pool1,1,F,4,i705,i506
TP09_drone_pool1,2,E,7,i708,i505
HB01_drone_indiv2,1,B,1,i702,i502
HB09_drone_indiv2,1,F,6,i707,i506
HB12_drone_indiv6,1,A,3,i704,i501
WK03_drone_indiv2,2,A,6,i707,i501
WK10_drone_indiv2,2,A,3,i704,i501
BP04_drone_indiv2,2,C,4,i705,i503
BP11_drone_indiv2,1,F,5,i706,i506
BP12_drone_indiv5,2,E,1,i702,i505
TP04_drone_indiv2,2,F,9,i710,i506
TP11_drone_indiv2,1,B,4,i705,i502
TP17_drone_indiv2,2,F,10,i711,i506
HB02_drone_indiv2,1,A,11,i712,i501
HB10_drone_indiv2,1,C,7,i708,i503
HB13_drone_indiv2,1,F,9,i710,i506
WK04_drone_indiv2,1,A,1,i702,i501
WK11_drone_indiv2,2,D,6,i707,i504
BP05_drone_indiv2,2,F,6,i707,i506
BP11_drone_indiv3,1,D,9,i710,i504
BP12_drone_indiv6,1,D,5,i706,i504
TP05_drone_indiv2,2,G,8,i709,i507
TP11_drone_indiv3,1,E,4,i705,i505
TP18_queen_indiv1,2,D,2,i703,i504
HB03_drone_indiv2,1,B,2,i703,i502
HB11_drone_indiv2,2,G,3,i704,i507
HB14_drone_indiv2,1,B,5,i706,i502
WK05_drone_indiv2,1,C,8,i709,i503
WK12_drone_indiv2,2,C,2,i703,i503
BP06_drone_indiv2,2,A,7,i708,i501
BP11_drone_indiv4,1,H,7,i708,i508
BP13_drone_indiv2,2,E,11,i712,i505
TP06_drone_indiv2,2,G,2,i703,i507
TP11_drone_indiv4,1,A,5,i706,i501
HB04_drone_indiv2,1,C,11,i712,i503
HB12_drone_indiv1,2,E,6,i707,i505
HB15_drone_indiv2,2,G,7,i708,i507
WK06_drone_indiv1,1,G,5,i706,i507
WK13_drone_indiv2,1,G,9,i710,i507
BP07_drone_indiv2,2,A,4,i705,i501
BP11_drone_indiv5,1,H,11,i712,i508
BP14_drone_indiv1,2,A,1,i702,i501
TP07_drone_indiv2,1,H,3,i704,i508
TP12_drone_indiv2,1,A,6,i707,i501
HB05_drone_indiv2,1,G,7,i708,i507
HB12_drone_indiv2,1,G,2,i703,i507
HB16_drone_indiv2,1,F,10,i711,i506
WK06_drone_indiv2,2,C,5,i706,i503
WK14_drone_indiv2,1,F,11,i712,i506
BP08_drone_indiv2,1,G,10,i711,i507
BP12_drone_indiv1,1,D,1,i702,i504
BP14_drone_indiv2,1,B,7,i708,i502
TP08_drone_indiv2,1,D,11,i712,i504
TP13_drone_indiv2,1,C,4,i705,i503
HB06_drone_indiv2,2,F,1,i702,i506
HB12_drone_indiv3,1,C,6,i707,i503
HB17_drone_indiv2,2,A,5,i706,i501
WK07_drone_indiv2,2,C,6,i707,i503
BP01_queen_indiv1,1,D,4,i705,i504
BP09_drone_indiv2,1,D,7,i708,i504
BP12_drone_indiv2,1,F,8,i709,i506
TP01_drone_indiv2,1,D,10,i711,i504
TP09_drone_indiv2,2,B,11,i712,i502
TP14_drone_indiv2,1,E,8,i709,i505
HB07_drone_indiv2,1,B,3,i704,i502
HB12_drone_indiv4,2,C,7,i708,i503
WK01_drone_indiv2,2,C,3,i704,i503
WK08_drone_indiv2,2,D,7,i708,i504
BP02_drone_indiv2,2,B,1,i702,i502
BP10_drone_indiv2,1,A,2,i703,i501
BP12_drone_indiv3,2,F,11,i712,i506
TP02_drone_indiv2,1,E,11,i712,i505
TP10_drone_indiv2,2,C,9,i710,i503
WK02_drone_indiv2,1,H,4,i705,i508
WK09_drone_indiv2,1,H,2,i703,i508
BP03_drone_indiv2,2,D,10,i711,i504
BP11_drone_indiv1,1,G,4,i705,i507
BP12_drone_indiv4,1,B,9,i710,i502
TP11_drone_indiv1,2,B,7,i708,i502
TP16_drone_indiv2,1,E,7,i708,i505
H1_drone_indiv1,1,A,4,i705,i501
H1_worker_indiv2,2,D,11,i712,i504
T12_drone_indiv7,2,F,3,i704,i506
Z2_drone_indiv4,1,H,9,i710,i508
H1_drone_indiv2,2,A,8,i709,i501
H1_worker_indiv3,1,C,9,i710,i503
T12_queen_indiv1,1,C,10,i711,i503
Z2_drone_indiv5,2,E,3,i704,i505
H1_drone_indiv3,2,B,4,i705,i502
T12_drone_indiv1,1,E,6,i707,i505
T12_worker_indiv1,1,G,6,i707,i507
Z2_drone_indiv6,1,A,10,i711,i501
H1_drone_indiv4,2,D,1,i702,i504
T12_drone_indiv2,1,E,1,i702,i505
T12_worker_indiv2,2,E,10,i711,i505
Z2_queen_indiv1,1,D,2,i703,i504
H1_drone_indiv5,1,E,10,i711,i505
T12_drone_indiv3,2,E,4,i705,i505
T12_worker_indiv3,2,F,2,i703,i506
Z2_worker_indiv1,1,G,1,i702,i507
H1_drone_indiv6,2,F,4,i705,i506
T12_drone_indiv4,2,D,8,i709,i504
Z2_drone_indiv1,2,B,8,i709,i502
Z2_worker_indiv2,1,E,2,i703,i505
H1_queen_indiv1,1,H,6,i707,i508
T12_drone_indiv5,1,E,3,i704,i505
Z2_drone_indiv2,2,C,10,i711,i503
Z2_worker_indiv3,1,D,8,i709,i504
H1_worker_indiv1,1,B,8,i709,i502
T12_drone_indiv6,2,C,11,i712,i503
Z2_drone_indiv3,2,B,6,i707,i502
Z2_worker_indiv4,1,B,11,i712,i502
